order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102529327,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T14:03:04.000+01:00,2020-02-26 00:00:09,2020-02-26 14:03:10,ONLINE,2020-02-26 03:17:43
102529359,942dea73-a6c3-4c2c-8ccd-b136be676105,33,33,390,1,1,1,0,0,0,33,33,390,2020-02-26T14:08:14.000+01:00,2020-02-26 09:43:54,2020-02-26 14:08:25,ONLINE,2020-02-26 12:42:28
102531003,82fb1d95-c894-4499-825e-8774d0247087,48,44,848,1,1,1,0,0,0,48,44,848,2020-02-26T14:08:43.000+01:00,2020-02-26 10:13:36,2020-02-26 14:08:56,ONLINE,2020-02-26 09:29:17
102531206,4a771d87-1cc3-4531-a671-9a2ae14628f0,96,96,1760,1,1,1,0,0,0,96,96,1760,2020-02-26T14:09:43.000+01:00,2020-02-26 00:00:09,2020-02-26 14:09:59,ONLINE,2020-02-26 03:17:43
102532152,a8d153dc-2294-4446-b190-78dd8c306e74,24,12,382,1,2,2,0,1,1,24,10,374,2020-02-26T14:14:30.000+01:00,2020-02-26 00:21:52,2020-02-26 14:15:03,ONLINE,2020-02-26 11:30:12
102533038,e7d50744-08f1-4718-bab2-c2a49221a8c9,44,44,800,1,1,2,0,0,1,44,44,784,2020-02-26T14:18:50.000+01:00,2020-02-26 11:00:13,2020-02-26 14:18:58,ONLINE,2020-02-26 10:48:40
102534049,055f5c23-c398-4b16-a30f-4b0c2e898926,888,814,16724,1,1,1,0,0,0,888,814,16724,2020-02-26T14:23:55.000+01:00,2020-02-26 10:50:27,2020-02-26 14:24:09,ONLINE,2020-02-26 11:07:20
102537553,82fb1d95-c894-4499-825e-8774d0247087,48,48,864,1,1,2,0,0,1,48,48,852,2020-02-26T14:43:40.000+01:00,2020-02-26 10:13:36,2020-02-26 14:43:56,ONLINE,2020-02-26 09:29:17
102539092,82fb1d95-c894-4499-825e-8774d0247087,44,44,860,1,1,2,0,0,1,44,44,848,2020-02-26T14:54:08.000+01:00,2020-02-26 10:13:36,2020-02-26 14:54:21,ONLINE,2020-02-26 09:29:17
102544712,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,100,40,1370,2,2,2,1,1,2,90,30,1290,2020-02-26T15:20:49.000+01:00,2020-02-26 11:45:21,2020-02-26 15:21:43,ONLINE,2020-02-26 14:48:04
102547375,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,456,1,1,1,0,0,0,24,22,456,2020-02-26T15:34:52.000+01:00,2020-02-26 00:21:52,2020-02-26 15:35:00,ONLINE,2020-02-26 11:30:12
102547962,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,80,1760,1,1,1,0,0,0,88,80,1760,2020-02-26T15:37:39.000+01:00,2020-02-26 00:00:09,2020-02-26 15:37:50,ONLINE,2020-02-26 03:17:43
102552851,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,352,368,7168,1,1,1,0,0,0,352,368,7168,2020-02-26T16:04:39.000+01:00,2020-02-26 11:02:30,2020-02-26 16:04:43,ONLINE,2020-02-26 11:38:44
102555874,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T16:17:35.000+01:00,2020-02-26 00:00:09,2020-02-26 16:17:48,ONLINE,2020-02-26 03:17:43
102563047,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1752,1,1,1,0,0,0,88,88,1752,2020-02-26T16:51:02.000+01:00,2020-02-26 00:00:09,2020-02-26 16:51:07,ONLINE,2020-02-26 03:17:43
102566883,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,264,3278,1,1,2,0,0,2,242,264,3190,2020-02-26T17:15:50.000+01:00,2020-02-26 11:11:36,2020-02-26 17:15:51,ONLINE,2020-02-26 11:49:11
102571659,942dea73-a6c3-4c2c-8ccd-b136be676105,36,33,609,1,1,1,0,0,0,36,33,609,2020-02-26T17:32:04.000+01:00,2020-02-26 09:43:54,2020-02-26 17:32:16,ONLINE,2020-02-26 12:42:28
102576074,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T17:45:02.000+01:00,2020-02-26 00:00:09,2020-02-26 17:45:13,ONLINE,2020-02-26 03:17:43
102577362,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,24,402,1,1,2,0,0,1,22,24,392,2020-02-26T17:50:08.000+01:00,2020-02-26 00:00:12,2020-02-26 17:50:11,ONLINE,2020-02-26 13:00:16
102577375,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,110,120,2310,1,1,1,0,0,0,110,120,2310,2020-02-26T17:49:43.000+01:00,2020-02-26 11:45:21,2020-02-26 17:49:45,ONLINE,2020-02-26 14:48:04
102578071,b5abcecd-8afe-4fe5-9c4c-a6539308984f,22,24,450,1,1,1,0,0,0,22,24,450,2020-02-26T17:57:57.000+01:00,2020-02-26 00:46:22,2020-02-26 17:58:00,ONLINE,2020-02-26 15:14:16
102581577,b5abcecd-8afe-4fe5-9c4c-a6539308984f,24,22,452,1,1,1,0,0,0,24,22,452,2020-02-26T18:04:59.000+01:00,2020-02-26 00:46:22,2020-02-26 18:05:12,ONLINE,2020-02-26 15:14:16
102581789,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,408,1,1,2,0,0,1,22,22,398,2020-02-26T18:05:41.000+01:00,2020-02-26 00:00:12,2020-02-26 18:05:48,ONLINE,2020-02-26 13:00:16
102584120,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,96,1736,1,1,1,0,0,0,88,96,1736,2020-02-26T18:14:31.000+01:00,2020-02-26 00:00:09,2020-02-26 18:14:36,ONLINE,2020-02-26 03:17:43
102584391,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T18:16:30.000+01:00,2020-02-26 00:00:09,2020-02-26 18:16:44,ONLINE,2020-02-26 03:17:43
102584721,a8d153dc-2294-4446-b190-78dd8c306e74,8,24,434,1,1,1,0,0,0,8,24,434,2020-02-26T18:15:33.000+01:00,2020-02-26 00:21:52,2020-02-26 18:15:35,ONLINE,2020-02-26 11:30:12
102591390,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,96,88,1848,1,1,1,0,0,0,96,88,1848,2020-02-26T18:39:04.000+01:00,2020-02-26 08:35:03,2020-02-26 18:39:11,ONLINE,2020-02-26 09:51:25
102591884,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T18:39:08.000+01:00,2020-02-26 00:00:09,2020-02-26 18:39:16,ONLINE,2020-02-26 03:17:43
